age,gender,sleep_hours,daily_steps,exercise_minutes_week,water_intake_liters,stress_level,nutrition_quality,screen_time_hours,wellbeing_score
56,M,7.53628936575583,7396.4101640079425,119.55902536621882,1.936764959291828,8,2,3.379218017244869,70.45368662689562
69,M,6.119095873350732,10991.851106528768,174.21574907412338,2.410345906631564,4,9,0.9043968873819375,84.0927569050631
46,F,6.710830319142088,7586.125853055233,78.61090125667334,0.9513203090533053,10,3,4.528509527214678,57.89511581780079
32,M,6.768944926049902,9977.38249448358,319.01776333459577,2.970685140944006,8,8,3.9193321795719127,100.0
60,M,9.035285161328332,6807.789099614507,242.53980907967244,2.664099255895872,6,8,5.490721448155751,99.71129006555667
25,F,6.460844088962647,5229.173549920652,153.1781568161591,1.6473827344088035,9,3,4.187046992877219,75.71690241094358
78,M,9.034950073275182,11441.704166625665,322.9114768069534,1.877617759649292,4,3,3.6745925968618165,90.21786630810979
38,M,2.931264262228039,4871.949136191799,157.42792440828487,2.1261711521719615,2,6,2.2576139399847386,85.3761469162554
56,M,9.021783671993555,8031.5344693728985,259.76249648611645,2.8229964281243607,2,1,4.144306473643523,100.0
75,M,8.946109172293937,9306.69208967342,153.83005875224245,1.9774951767219069,5,4,5.476474461632324,77.9009744090874
36,M,8.353382010083788,9524.47811341257,189.38875948105786,1.6315521565898043,10,1,1.7133220178322786,82.89779560714024
40,F,3.9821229951943424,3503.6719893399413,141.85612190572203,1.9706108383106542,9,3,4.174947507361479,60.43777154333127
28,M,8.528330492833721,10155.851217484797,159.5301353873937,1.8761521970144581,3,9,4.466085903058968,94.71367471195487
28,M,6.924821236487124,4063.1342616781894,167.0531860387999,2.147087131092496,8,5,2.5638704327634714,71.11134246025709
41,M,3.2059938401130097,9432.11096604998,83.02681675116064,0.4009836948443244,4,5,2.8242873901839998,59.55793097300632
70,M,8.947266561752045,8605.520413147296,109.89313330769122,1.7210974149632186,6,4,4.461221697532429,79.63646128530185
53,M,9.166259617823453,9455.891985339695,128.32449835138283,1.8223083553058155,10,3,1.733157963414754,73.17851482945662
57,F,4.143231892202243,3384.9894367029174,172.97110168022965,1.4490069830634795,6,5,4.699847430498785,69.21715658948631
41,M,7.263131612950169,8763.789228203175,146.94209804965328,2.0489165109522913,3,4,2.2092912526816,88.49624381416432
20,F,9.082886682166274,10256.781029224516,267.3032533825707,2.8448173343983285,5,8,6.125707386066432,100.0
39,F,8.84524197018572,7580.187349485222,234.7118318979641,1.5967519917731083,3,4,8.675655490776599,83.99212074308463
70,M,8.254091576739285,4544.149961186269,130.36724439746277,1.984204756495383,1,8,2.2784863965963607,98.12764066094408
19,M,3.029120680153737,9759.242842983971,288.17838974519395,2.624385332316087,7,6,5.068415724749349,69.08379308485485
41,M,8.094314149953721,7341.7588843023095,337.3020623575457,1.6130951541592988,4,5,2.5465161902359617,100.0
61,M,6.672844152439086,1976.667208516912,-54.38262949221172,0.8780757583488337,7,4,6.081908347595579,51.38690146483414
47,F,8.493786293077742,4311.431613050019,243.2290085066279,1.931045194361547,3,4,1.46948318182957,95.66865385939516
55,M,7.384242187650737,5421.116406319079,80.70158026685009,-0.04116629575865294,5,4,4.961173516855426,73.3973753429053
19,M,6.970177584566702,11517.45486291897,230.07480213232992,-0.10885692657387591,5,9,2.2540220662212946,80.46082478664606
77,M,7.961355774113854,10990.549258918643,273.8237940646432,1.7331084329813806,2,4,3.5860308218032624,100.0
38,M,6.742129943392364,10980.905593170028,62.3007405489448,-0.14147926815730627,10,9,1.937949449705386,61.005428359222776
50,M,6.963584080162087,7697.080833051599,-35.232709901576044,0.5793825803002665,2,10,5.644700941791507,87.70479182554378
29,M,6.167164001306857,9740.784375337596,233.5434088215865,1.2339310055427744,4,6,2.326039291120826,83.91494455374915
75,F,4.591886513223157,3577.661773942328,163.54024824836114,0.9950085551778793,4,10,5.103928518663655,78.95092060458282
39,F,7.851780210656907,7020.409295178313,-16.84387539026281,1.3965354475170175,4,7,3.311803943475334,80.35128509551473
78,M,5.790954520494145,8354.898104948788,402.9564505462822,2.279009098537948,6,10,3.771055256402274,100.0
61,M,6.698812200938899,3775.3028280726394,212.4419412256552,1.6669365679547516,2,3,4.295511814800257,81.88666795365576
42,M,7.4304609376809,7629.73626892561,217.01000401251525,0.9124757187543786,6,8,2.4763506566823024,84.43189575413
66,F,3.872173534651842,12059.917557413033,286.5817752562049,2.448108750948993,7,3,4.420734227081774,76.23948338153247
44,M,4.207976644484765,8676.30935368188,91.9176047153498,0.49979993441906645,10,1,7.060669128708822,51.46167057613054
76,F,6.550392135086196,9752.635619992361,163.04541120886768,1.6553184561404697,3,10,2.4438104283345714,84.62702403925422
59,M,7.681845223449484,-357.2207702967871,18.067808622023705,0.421939817491807,8,5,6.34362028654769,61.975158627361175
45,M,8.116057405973741,11673.906547458773,89.20515527148154,1.6766225340113774,2,2,6.996195266975569,83.30281321268042
77,M,4.613028256186139,6441.632956743491,188.56600004692376,1.2769608172751816,8,10,2.367690021943912,79.26219839968822
33,M,7.954947226619223,4693.9410577898725,-16.528466713245223,2.2575665380684575,5,6,1.089890789818896,84.10010243648459
32,F,6.632395572525495,6476.08644457021,86.37104543219189,2.0044826298359606,2,10,4.60392180034353,92.80594291344313
79,F,5.675264132355284,2544.9335251573066,57.206604006227934,1.089002467605836,7,9,2.905184954466254,70.8618211245805
79,M,6.027172215910944,10143.826185256428,164.2092245620345,0.9547422514286312,2,1,7.737206438326005,76.26415727741167
64,M,8.20278599806025,5993.8128316786215,207.47012616653487,1.2794322868775234,6,4,4.0696150809996645,82.83343024776077
79,F,7.411008677628358,4784.1075639217925,224.2152804376457,2.8129000220240377,10,1,2.3956011839296414,72.79316781411264
68,F,7.07545978413298,6495.8348029349045,249.8816644778151,2.6333479367756567,3,1,1.7056809779765771,91.13261686606347
61,F,7.36524360821185,10354.046963728422,287.21168465723713,0.8222122702419445,9,8,6.179809918181661,81.59159635357787
